Country,Year,LPI Score,Customs Score,Infrastructure Score,International shipments Score,Logistics competence Score,Tracking & tracing Score,Timeliness Score,LMEI
Brazil,2007,2.75,2.39,2.75,2.61,2.94,2.77,3.1,2.936666666666667
Canada,2007,3.92,3.82,3.95,3.78,3.85,3.98,4.19,4.006666666666667
China,2007,3.32,2.99,3.2,3.31,3.4,3.37,3.68,3.483333333333334
Germany,2007,4.1,3.88,4.19,3.91,4.21,4.12,4.33,4.22
India,2007,3.07,2.69,2.9,3.08,3.27,3.03,3.47,3.2566666666666664
Indonesia,2007,3.01,2.73,2.83,3.05,2.9,3.3,3.28,3.16
Japan,2007,4.02,3.79,4.11,3.77,4.12,4.08,4.34,4.18
Mexico,2007,2.87,2.5,2.68,2.91,2.8,2.96,3.4,3.0533333333333332
Nigeria,2007,2.4,2.23,2.23,2.49,2.38,2.36,2.69,2.4766666666666666
Singapore,2007,4.19,3.9,4.27,4.04,4.21,4.25,4.53,4.330000000000001
South Africa,2007,3.53,3.22,3.42,3.56,3.54,3.71,3.78,3.676666666666667
United Kingdom,2007,3.99,3.74,4.05,3.85,4.02,4.1,4.25,4.123333333333333
United States,2007,3.84,3.52,4.07,3.58,3.85,4.01,4.11,3.99
Vietnam,2007,2.89,2.89,2.5,3.0,2.8,2.9,3.22,2.973333333333333
Brazil,2010,3.2,2.37,3.1,2.91,3.3,3.42,4.14,3.6199999999999997
Canada,2010,3.87,3.71,4.03,3.24,3.99,4.01,4.41,4.136666666666667
China,2010,3.49,3.16,3.54,3.31,3.49,3.55,3.91,3.65
Germany,2010,4.11,4.0,4.34,3.66,4.14,4.18,4.48,4.266666666666667
India,2010,3.12,2.7,2.91,3.13,3.16,3.14,3.61,3.3033333333333332
Indonesia,2010,2.76,2.43,2.54,2.82,2.47,2.77,3.46,2.9000000000000004
Japan,2010,3.97,3.79,4.19,3.55,4.0,4.13,4.26,4.13
Mexico,2010,3.05,2.55,2.95,2.83,3.04,3.28,3.66,3.3266666666666667
Nigeria,2010,2.59,2.17,2.43,2.84,2.45,2.45,3.1,2.6666666666666665
Singapore,2010,4.09,4.02,4.22,3.86,4.12,4.15,4.23,4.166666666666667
South Africa,2010,3.46,3.22,3.42,3.26,3.59,3.73,3.57,3.6300000000000003
United Kingdom,2010,3.95,3.74,3.95,3.66,3.92,4.13,4.37,4.14
United States,2010,3.86,3.68,4.15,3.21,3.92,4.17,4.19,4.093333333333333
Vietnam,2010,2.96,2.68,2.56,3.04,2.89,3.1,3.44,3.143333333333333
Brazil,2012,3.13,2.51,3.07,3.12,3.12,3.42,3.55,3.3633333333333333
Canada,2012,3.85,3.58,3.99,3.55,3.85,3.86,4.31,4.006666666666667
China,2012,3.52,3.25,3.61,3.46,3.47,3.52,3.8,3.596666666666667
Germany,2012,4.03,3.87,4.26,3.67,4.09,4.05,4.32,4.153333333333333
India,2012,3.08,2.77,2.87,2.98,3.14,3.09,3.58,3.27
Indonesia,2012,2.94,2.53,2.54,2.97,2.85,3.12,3.61,3.1933333333333334
Japan,2012,3.93,3.72,4.11,3.61,3.97,4.03,4.21,4.07
Mexico,2012,3.06,2.63,3.03,3.07,3.02,3.15,3.47,3.2133333333333334
Nigeria,2012,2.45,1.97,2.27,2.6,2.52,2.35,2.92,2.5966666666666662
Singapore,2012,4.13,4.1,4.15,3.99,4.07,4.07,4.39,4.176666666666667
South Africa,2012,3.67,3.35,3.79,3.5,3.56,3.83,4.03,3.8066666666666666
United Kingdom,2012,3.9,3.73,3.95,3.63,3.93,4.0,4.19,4.04
United States,2012,3.93,3.67,4.14,3.56,3.96,4.11,4.21,4.093333333333334
Vietnam,2012,3.0,2.65,2.68,3.14,2.68,3.16,3.64,3.16
Brazil,2014,2.94,2.48,2.93,2.8,3.05,3.03,3.39,3.1566666666666663
Canada,2014,3.86,3.61,4.05,3.46,3.94,3.97,4.18,4.03
China,2014,3.53,3.21,3.67,3.5,3.46,3.5,3.87,3.61
Germany,2014,4.12,4.1,4.32,3.74,4.12,4.17,4.36,4.216666666666668
India,2014,3.08,2.72,2.88,3.2,3.03,3.11,3.51,3.2166666666666663
Indonesia,2014,3.08,2.87,2.92,2.87,3.21,3.11,3.53,3.283333333333333
Japan,2014,3.91,3.78,4.16,3.52,3.93,3.95,4.24,4.04
Mexico,2014,3.13,2.69,3.04,3.19,3.12,3.14,3.57,3.276666666666667
Nigeria,2014,2.81,2.35,2.56,2.63,2.7,3.16,3.46,3.106666666666667
Singapore,2014,4.0,4.01,4.28,3.7,3.97,3.9,4.25,4.04
South Africa,2014,3.43,3.11,3.2,3.45,3.62,3.3,3.88,3.6
