Country,Year,Forecast,Lower,Upper
Brazil,2024,3.3278,3.027,3.6285
Brazil,2025,3.3434,3.0427,3.6442
Brazil,2026,3.3608,3.0601,3.6616
Brazil,2027,3.38,3.0792,3.6808
Brazil,2028,3.4009,3.1001,3.7017
Canada,2024,4.1506,4.0304,4.2708
Canada,2025,4.1966,4.0765,4.3168
Canada,2026,4.2479,4.1277,4.3681
Canada,2027,4.3044,4.1842,4.4246
Canada,2028,4.3661,4.2459,4.4863
China,2024,3.7738,3.714,3.8336
China,2025,3.7813,3.7215,3.8411
China,2026,3.788,3.7282,3.8478
China,2027,3.7939,3.7341,3.8537
China,2028,3.799,3.7392,3.8588
Germany,2024,4.1531,4.0581,4.2482
Germany,2025,4.1193,4.0242,4.2143
Germany,2026,4.0815,3.9864,4.1765
Germany,2027,4.0398,3.9447,4.1348
Germany,2028,3.9942,3.8991,4.0893
India,2024,3.5167,3.3816,3.6518
India,2025,3.5385,3.4034,3.6736
India,2026,3.5608,3.4257,3.696
India,2027,3.5838,3.4487,3.7189
India,2028,3.6074,3.4723,3.7425
Indonesia,2024,3.0286,2.8326,3.2246
Indonesia,2025,2.959,2.763,3.155
Indonesia,2026,2.8808,2.6848,3.0768
Indonesia,2027,2.7941,2.5981,2.9901
Indonesia,2028,2.6989,2.5029,2.8949
Japan,2024,4.0429,3.9842,4.1016
Japan,2025,4.0376,3.9789,4.0963
Japan,2026,4.0323,3.9736,4.0909
Japan,2027,4.0269,3.9682,4.0855
Japan,2028,4.0214,3.9627,4.0801
Mexico,2024,3.1643,3.0615,3.2671
Mexico,2025,3.141,3.0382,3.2438
Mexico,2026,3.1151,3.0123,3.218
Mexico,2027,3.0868,2.9839,3.1896
Mexico,2028,3.0558,2.953,3.1587
Nigeria,2024,2.6184,2.4171,2.8197
Nigeria,2025,2.5554,2.354,2.7567
Nigeria,2026,2.4845,2.2832,2.6858
Nigeria,2027,2.4059,2.2045,2.6072
Nigeria,2028,2.3194,2.1181,2.5208
Singapore,2024,4.4318,4.3707,4.4928
Singapore,2025,4.4996,4.4385,4.5606
Singapore,2026,4.574,4.5129,4.635
Singapore,2027,4.6551,4.5941,4.7162
Singapore,2028,4.7429,4.6819,4.804
South Africa,2024,3.788,3.5729,4.003
South Africa,2025,3.8192,3.6042,4.0342
South Africa,2026,3.8538,3.6388,4.0689
South Africa,2027,3.8918,3.6768,4.1068
South Africa,2028,3.9332,3.7181,4.1482
United Kingdom,2024,3.7409,3.6302,3.8517
United Kingdom,2025,3.6524,3.5417,3.7632
United Kingdom,2026,3.5557,3.4449,3.6665
United Kingdom,2027,3.4508,3.34,3.5616
United Kingdom,2028,3.3377,3.2269,3.4485
United States,2024,3.9259,3.8725,3.9793
United States,2025,3.8909,3.8375,3.9443
United States,2026,3.8527,3.7992,3.9061
United States,2027,3.8112,3.7577,3.8646
United States,2028,3.7664,3.713,3.8199
Vietnam,2024,3.319,3.1532,3.4847
Vietnam,2025,3.3047,3.139,3.4704
Vietnam,2026,3.2865,3.1207,3.4522
Vietnam,2027,3.2642,3.0984,3.4299
Vietnam,2028,3.2378,3.0721,3.4035
