Country,Year,LPI Score,Customs Score,Infrastructure Score,International shipments Score,Logistics competence Score,Tracking & tracing Score,Timeliness Score,LMEI
Brazil,2007,2.75,2.39,2.75,2.61,2.94,2.77,3.1,2.936666666666667
Brazil,2008,2.9756253490870033,2.266514285714286,2.907878839957035,2.5631669172932328,3.2172644468313636,3.004198925886144,3.969820837808808,3.3970947368421047
Brazil,2009,3.125219011815253,2.281385714285715,3.027409129967777,2.699375187969925,3.3189483351235225,3.238149194414608,4.249865628356606,3.602321052631579
Brazil,2010,3.2,2.37,3.1,2.91,3.3,3.42,4.14,3.6199999999999997
Brazil,2011,3.2011873254564986,2.467742857142857,3.1170605800214823,3.0864165413533833,3.215367776584318,3.497900537056928,3.840089581095596,3.5177859649122802
Brazil,2012,3.13,2.51,3.07,3.12,3.12,3.42,3.55,3.3633333333333333
Brazil,2013,3.008234854994629,2.470957142857143,2.9728334049409235,2.9616045112781957,3.0604886143931256,3.189523523093448,3.4185036519871104,3.222838596491228
Brazil,2014,2.94,2.48,2.93,2.8,3.05,3.03,3.39,3.1566666666666663
Brazil,2015,3.0033732545649836,2.635928571428571,3.017855800214823,2.8134154135338343,3.0839277658431787,3.12525537056928,3.3796458109559615,3.196276315789474
Brazil,2016,3.09,2.76,3.11,2.9,3.12,3.28,3.39,3.263333333333333
Brazil,2017,3.079522126745435,2.6653285714285713,3.070743394199785,2.922233834586466,3.118800322234157,3.2669549946294305,3.4379131041890436,3.2745561403508767
Brazil,2018,2.99,2.41,2.93,2.88,3.09,3.11,3.51,3.2366666666666664
Brazil,2019,2.8740986036519875,2.1133428571428574,2.7590846401718583,2.807532330827067,3.0555422126745433,2.8958042964554247,3.5853166487647687,3.178887719298245
Brazil,2020,2.7844829215896887,1.8946857142857152,2.629312137486574,2.739064661654135,3.0373701396348007,2.71103716433942,3.642919011815252,3.1304421052631572
Brazil,2021,2.7738179377013967,1.8733571428571434,2.6119973147153606,2.7088308270676693,3.0574269602577866,2.642367883995704,3.6618630504833507,3.1205526315789465
Brazil,2022,2.894768635875403,2.168685714285715,2.7784549946294312,2.751064661654135,3.1376558539205144,2.7764657357679914,3.621204726100966,3.1784421052631573
Brazil,2023,3.2,2.9,3.2,2.9,3.3,3.2,3.5,3.3333333333333335
Canada,2007,3.92,3.82,3.95,3.78,3.85,3.98,4.19,4.006666666666667
Canada,2008,3.898,3.8099858216971,4.0216833512352315,3.26891858216971,4.034799140708915,4.097990977443608,4.344335982814179,4.159042033655567
Canada,2009,3.8819999999999997,3.769489366272825,4.0417625134264235,3.138188936627283,4.058599355531686,4.089493233082707,4.409751987110634,4.185948191908342
Canada,2010,3.87,3.71,4.03,3.24,3.99,4.01,4.41,4.136666666666667
Canada,2011,3.8600000000000003,3.64300708915145,4.006158324382385,3.426540708915145,3.8976004296455424,3.9150045112781955,4.3688320085929115,4.060478983172216
Canada,2012,3.85,3.58,3.99,3.55,3.85,3.86,4.31,4.006666666666667
Canada,2013,3.84275,3.5447305048335123,4.000064607948443,3.518013050483351,3.887848818474758,3.885237593984963,4.250461976369494,4.0078494629430725
Canada,2014,3.86,3.61,4.05,3.46,3.94,3.97,4.18,4.03
Canada,2015,3.91025,3.806820891514501,4.129833243823845,3.50515708915145,3.9335042964554243,4.069045112781955,4.090570085929108,4.031039831722163
Canada,2016,3.93,3.95,4.14,3.56,3.9,4.1,4.01,4.003333333333333
Canada,2017,3.8600000000000003,3.8604859291084854,3.994352416756176,3.5101085929108486,3.8868839957035446,3.9985819548872183,3.967257679914071,3.950907876834944
Canada,2018,3.73,3.6,3.75,3.38,3.9,3.81,3.96,3.89
Canada,2019,3.5919999999999996,3.2904567132116003,3.499866595059076,3.22892567132116,3.9348034371643394,3.6068360902255647,3.978056068743287,3.8398985320443972
Canada,2020,3.4979999999999998,3.053770569280343,3.33687604726101,3.116137056928034,3.986749731471536,3.461672180451129,4.0112549946294305,3.8198923021840328
Canada,2021,3.499999999999999,3.0118560687432865,3.353952201933405,3.100885606874328,4.051294307196563,3.447090225563911,4.049425886143931,3.849270139634802
Canada,2022,3.6499999999999995,3.286627712137486,3.6440189044038664,3.2424227712137483,4.123892588614393,3.6356721804511283,4.082397851772288,3.9473208736126035
Canada,2023,4.0,4.0,4.3,3.6,4.2,4.1,4.1,4.133333333333333
China,2007,3.32,2.99,3.2,3.31,3.4,3.37,3.68,3.483333333333334
China,2008,3.390993770139635,3.015131686358754,3.3619772287862513,3.2203381310418906,3.4467351235230934,3.468494092373791,3.8869950590762623,3.6007414249910488
China,2009,3.4482453276047265,3.0808487647690654,3.470982921589689,3.235253598281418,3.47655134264232,3.5263705692803433,3.9442462943071965,3.6490560687432865
China,2010,3.49,3.16,3.54,3.31,3.49,3.55,3.91,3.65
China,2011,3.5145031149301826,3.225434156820623,3.582011385606874,3.399830934479055,3.4876324382384536,3.545752953813104,3.8425024704618687,3.6252959541711425
China,2012,3.52,3.25,3.61,3.46,3.47,3.52,3.8,3.596666666666667
China,2013,3.5126164339419974,3.224306068743287,3.6362186895810953,3.4692149301825994,3.446260794844253,3.487929377013963,3.8216182062298603,3.585269459362692
China,2014,3.53,3.21,3.67,3.5,3.46,3.5,3.87,3.61
China,2015,3.597531149301826,3.25984156820623,3.7143638560687435,3.6095593447905476,3.539824382384533,3.588779538131042,3.8985247046186893,3.6757095417114214
China,2016,3.66,3.32,3.75,3.7,3.62,3.68,3.9,3.733333333333333
China,2017,3.6597589688506984,3.3275776584317933,3.7588258861439314,3.6675476906552094,3.6319416756176155,3.695702470461869,3.878032975295381,3.7352257071249553
China,2018,3.61,3.29,3.75,3.54,3.59,3.65,3.84,3.6933333333333334
China,2019,3.5416249194414604,3.232273254564984,3.7394910848549947,3.378047475832438,3.5292595059076257,3.580023630504833,3.7942197636949513,3.634500966702471
China,2020,3.485535553168635,3.1794036519871107,3.7432678839957036,3.242380665950591,3.484804726100966,3.5229044038668094,3.749010955961332,3.5855733619763703
China,2021,3.4726337271750793,3.1563974221267457,3.7772991407089154,3.193690118152524,3.4917201933404933,3.5157733619763687,3.712692266380236,3.5733952738990338
China,2022,3.53382126745435,3.188260794844254,3.857553598281418,3.2926663802363048,3.5850904403866806,3.595761546723952,3.6935823845327604,3.6248114572144656
China,2023,3.7,3.3000000000000003,3.9999999999999996,3.6000000000000005,3.8,3.8,3.7,3.7666666666666666
Germany,2007,4.1,3.88,4.19,3.91,4.21,4.12,4.33,4.22
Germany,2008,4.167280773361977,4.082562835660579,4.325939849624061,3.7754414607948443,4.19616283566058,4.252387969924812,4.507578947368422,4.318709917651271
Germany,2009,4.158960580021482,4.092422126745435,4.363454887218045,3.696081095596133,4.170622126745434,4.252790977443609,4.538684210526316,4.32069910490512
Germany,2010,4.11,4.0,4.34,3.66,4.14,4.18,4.48,4.266666666666667
Germany,2011,4.055359613319012,3.89571858216971,4.2930300751879695,3.6552792696025778,4.11091858216971,4.092806015037593,4.38821052631579,4.197311707841031
Germany,2012,4.03,3.87,4.26,3.67,4.09,4.05,4.32,4.153333333333333
Germany,2013,4.058011063372717,3.973773899033297,4.270167293233083,3.6959820085929107,4.086473899033297,4.090033458646617,4.31692105263158,4.1644761367704985
Germany,2014,4.12,4.1,4.32,3.74,4.12,4.17,4.36,4.216666666666668
Germany,2015,4.186346133190118,4.137935821697099,4.3913007518797,3.804542696025779,4.1994358216971,4.23581015037594,4.415355263157895,4.283533745076979
Germany,2016,4.23,4.12,4.44,3.86,4.28,4.27,4.45,4.333333333333333
Germany,2017,4.231604403866811,4.101982814178304,4.428379699248121,3.877097207303974,4.315782814178303,4.267975939849624,4.439157894736842,4.340972216254922
Germany,2018,4.2,4.09,4.37,3.86,4.31,4.24,4.39,4.313333333333333
Germany,2019,4.1510769065520945,4.07774865735768,4.29124060150376,3.8212341568206227,4.278148657357679,4.200048120300752,4.3176842105263145,4.265293662728248
Germany,2020,4.100725241675617,4.05892588614393,4.218481203007518,3.7733254564983887,4.235725886143929,4.162096240601505,4.237368421052631,4.211730182599355
Germany,2021,4.0648351235230935,4.027228786251342,4.1781015037593985,3.7287996777658434,4.198228786251341,4.140120300751881,4.164210526315789,4.167519871106338
Germany,2022,4.059296670247045,3.9763544575725027,4.196481203007518,3.700182599355532,4.181154457572502,4.148096240601506,4.1133684210526305,4.147539706408879
Germany,2023,4.1,3.8999999999999995,4.3,3.7000000000000006,4.2,4.2,4.1,4.166666666666668
India,2007,3.07,2.69,2.9,3.08,3.27,3.03,3.47,3.2566666666666664
India,2008,3.0923377013963482,2.606852416756176,2.891326315789474,3.2398015037593986,3.1590238453276047,3.0926908700322238,3.525506766917293,3.2590738274257065
India,2009,3.111253276047261,2.6286393125671323,2.899994736842105,3.2298511278195488,3.1382678839957037,3.129018152524168,3.5761300751879697,3.2811387039026134
