Country,linear_MAE,linear_RMSE,linear_R2,poly2_MAE,poly2_RMSE,poly2_R2,weighted_linear_MAE,weighted_linear_RMSE,weighted_linear_R2,poly2_weighted_MAE,poly2_weighted_RMSE,poly2_weighted_R2,Best_Model
Brazil,0.1996,0.2856,-1.194,0.4186,0.5526,-7.2138,0.1892,0.243,-0.5878,0.3014,0.4145,-3.6208,weighted_linear
Canada,0.0948,0.1287,-1.667,0.1804,0.2628,-10.122,0.1106,0.1517,-2.707,0.1889,0.2637,-10.2006,linear
China,0.0531,0.0609,0.5245,0.067,0.0733,0.3115,0.0493,0.0549,0.6133,0.0545,0.0594,0.5475,weighted_linear
Germany,0.0837,0.0983,-1.3658,0.1302,0.1691,-5.9939,0.0954,0.1152,-2.2433,0.1478,0.1862,-7.4829,linear
India,0.0919,0.111,0.1248,0.0887,0.1241,-0.0941,0.094,0.1137,0.0813,0.114,0.138,-0.3532,poly2
Indonesia,0.1727,0.2136,-1.3818,0.2753,0.3816,-6.6042,0.1873,0.2425,-2.0715,0.2393,0.3212,-4.3871,linear
Japan,0.0403,0.05,-0.0015,0.0831,0.1234,-5.1011,0.0475,0.0535,-0.1474,0.1043,0.15,-8.0166,linear
Mexico,0.1115,0.1361,-1.5113,0.1467,0.1949,-4.1511,0.0918,0.1169,-0.8546,0.1434,0.1817,-3.4804,weighted_linear
Nigeria,0.1961,0.2472,-0.7962,0.1745,0.2265,-0.5081,0.215,0.256,-0.9258,0.2204,0.294,-1.5393,poly2
Singapore,0.1351,0.1795,-2.0769,0.0604,0.069,0.5462,0.1378,0.1802,-2.1004,0.06,0.0694,0.54,poly2_weighted
South Africa,0.1562,0.1858,-0.7329,0.2501,0.3205,-4.158,0.1731,0.205,-1.1111,0.3237,0.4179,-7.7705,linear
United Kingdom,0.14,0.1779,-1.1119,0.1571,0.2273,-2.4475,0.1761,0.2071,-1.8637,0.1679,0.2391,-2.8145,linear
United States,0.0822,0.0997,-1.5603,0.0654,0.0828,-0.7662,0.069,0.0957,-1.3579,0.0744,0.0983,-1.4921,poly2
Vietnam,0.1389,0.1684,-0.1067,0.1557,0.2165,-0.8291,0.1433,0.1807,-0.2741,0.2155,0.3058,-2.6483,linear
